in;out
тянись до близлежащего препятствия, разглядывай его;препятствие
разглядывай наблюдаемую рощу и заворчивай до неё;роща
исследуй разлом и разглядывай его;разлом
за поваленным деревом трещина, которую умоляют обнаружить и обозревай её;трещина
осматривай светильник спереди и анализируй его;светильник
устройся к близкому валуну, осмотри его;валун
левее человека располагается чаща, которую просят разглядывать и анализируй её;чаща
шагай к возвышенности справа от тебя и анализируй её;возвышенность
обскакивай тот дом и обследуй его;дом
поворачивай к недалёкому свету, припусти до него;свет
повернись до останца за тобой, анализируй его;останец
начни разглядывать ближнюю яму, канай к ней;яма
объезжай булыжник, что за избой, располагающуюся за ольхой и иди к нему;булыжник
сделай поворот к возвышенности справа от себя и сматывайся к ней;возвышенность
соверши поворот до близкого авто и рассмотри его;авто
опереди того товарища, выбегай до него;товарищ
пытайся приспевать до близкого разрыва и разглядывай его;разрыв
соверши поворот сюда, до свалившегося человека и переступай до него;свалившийся человек
перебрасывайся к разрыву справа и опереди его;разрыв
найди коттедж и сделай поворот до него;коттедж
рассмотри сюда, до света и подвергни анализу его;свет
устройся к лесополосе, находящейся неподалеку от упавшего человека правее автомобиля, осмотри её;лесополоса
начни заворчивать до валуна за преградой, находящейся справа от дома, обозревай его;валун
повернись до растения левее себя, оставь позади его;растение
начни исследовать близкого человека и обставь его;человек
обставь дерево, которое рядом с ямой, что располагается спереди от разлома и делай маневр до него;дерево
выбегай до автомобиля, обскочи его;автомобиль
исследуй недалёкого лежащего человека, семени к нему;лежащий человек
перед машиной провал, до которого приказывается повернуться и ступай до него;провал
спереди от дерева препятствие, которое умоляют обнаружить и выметайся к нему;препятствие
отходи до ближней кучи и оставь позади её;куча
левее спиленного дерева машина, которую нужно обскакивать и подвергни анализу её;машина
спереди от лежащего человека находится изба, которую необходимо найти, сделай поворот к ней;изба
найди близлежащее препятствие и обследуй его;препятствие
перед пригорком располагается булыга, которую приказывается обозревать и соверши поворот к ней;булыга
осмотри близлежащий фонарь и исследуй его;фонарь
пытайся обозревать тот останец и сделай поворот до него;останец
левее разрыва валун, который приказывают разыскать и рассмотри его;валун
отыщи близкую тачку и рассматривай её;тачка
подвергни анализу машину, располагающуюся перед останцем, что находится справа от пропасти и разглядывай её;машина
обнаружь близлежащее сваленное дерево и обследуй его;сваленное дерево
повернись до пьяного человека, шаркай к нему;пьяный человек
попробуй объезжать товарища, что располагается за ольхой, находящуюся позади лесополосы, сделай поворот к нему;товарищ
неподалеку от булыги располагается горка, которую приказывают обставить, исследуй её;горка
правее леса валун, который нужно разыскать и заворчивай к нему;валун
пытайся рассматривать этого железного коня и исследуй его;железный конь
начинай анализировать холмик, что располагается левее тачки, которая справа от дубравы, объезжай его;холмик
мчись до камушка за собой, осмотри его;камушек
обскакивай дерево, соверши поворот до него;дерево
сделай поворот до холма около разрыва, что перед железным конём и обозревай его;холм
исследуй сваленное дерево, что находится перед преградой, располагающуюся неподалеку от останца, заворчивай к нему;сваленное дерево
опережай близкого лежащего человека, рассмотри его;лежащий человек
найди преграду за тобой и обскакивай её;преграда
перед горкой находится поваленное дерево, которое нужно опережать и анализируй его;поваленное дерево
сделай поворот до ближайшего провала, рассмотри его;провал
выбегай до тачки справа от себя и повернись до неё;тачка
рассмотри валун и обследуй его;валун
пытайся опережать даму правее и заворчивай к ней;дама
соверши поворот в ту сторону, к роще и трусь к ней;роща
справа от пригорка человек, которого нужно обставить и подвергни анализу его;человек
слева от останца холм, который нужно подвергнуть анализу и опережай его;холм
начни разглядывать недалёкую берёзу и сделай поворот до неё;береза
осмотри барьер, объезжай его;барьер
обскакивай лес правее и осмотри его;лес
пытайся анализировать поваленное дерево слева, соверши поворот к нему;поваленное дерево
за машиной располагается береза, до которой надо подыматься, исследуй её;береза
попробуй разглядывать бугор, который располагается справа от железного коня, что располагается правее строения и обследуй его;бугор
попробуй обскакивать преграду, которая находится за берёзой, которая находится рядом с тачкой и заворчивай до неё;преграда
обходи товарища, что левее сломанного дерева, располагающееся около разлома, соверши поворот до него;товарищ
неподалеку от булыги валун, к которому умоляют сделать поворот и подвергни анализу его;валун
перед булыжником упавший человек, до которого приказывают заворчивать и обозревай его;упавший человек
исследуй преграду, объезжай её;преграда
начинай обозревать тот лес и шкандыбай до него;лес
начни торопиться к спиленному дереву правее тебя и подвергни анализу его;спиленное дерево
обставь канаву, рассмотри её;канава
обходи данный камень и осмотри его;камень
обставь в это место, до ямы, подвергни анализу её;яма
спереди от барьера располагается булыжник, который нужно отыскать и рассматривай его;булыжник
разглядывай срубленное дерево, что располагается левее дуба, что находится справа от машины, исследуй его;срубленное дерево
пытайся обозревать канаву и обскочи её;канава
обскакивай недалёкое авто, рассмотри его;авто
разглядывай близлежащий разлом, торопись до него;разлом
повернись до ограждения, разглядывай его;ограждение
греби до загородки и обставь её;загородка
исследуй лежащего человека за тобой, рассмотри его;лежащий человек
опереди близкую рытвину, шлёпай к ней;рытвина
подвергни анализу останец, который располагается правее строения рядом с булыжником и осмотри его;останец
сделай поворот к камушку, что находится справа от срубленного дерева, что справа от света, разглядывай его;камушек
обходи столб, что располагается левее трещины, находящуюся за валуном и сделай поворот к нему;столб
начни исследовать бугор, что находится правее тачки, что около избы, выбирайся до него;бугор
начни поворачивать до ближнего камня, анализируй его;камень
подвергни анализу близкий холм и обозревай его;холм
двигай до лесополосы, которая находится перед упавшим деревом, что располагается перед булыжником, рассмотри её;лесополоса
попробуй следовать по пути до лампы справа от себя, исследуй её;лампа
пытайся рассматривать особняк, что спереди от пригорка, располагающийся слева от камня и повернись до него;особняк
левее булыжника находится ограждение, которое требуется разглядывать и обскочи его;ограждение
опережай в этом направлении, до постройки, повернись к ней;постройка
попробуй обследовать человека, выбредай до него;человек
слева от упавшего человека фонарь, который умоляют обскочить, исследуй его;фонарь
слева от поваленного дерева находится роща, которую необходимо разглядывать, обследуй её;роща
оставь позади наблюдаемую горку и исследуй её;горка
рядом с берёзой располагается светильник, к которому необходимо осуществить перемещение и анализируй его;светильник
сделай поворот до близлежащего фонаря, обскочи его;фонарь
сделай поворот до дома, что находится перед возвышенностью, что располагается позади фонаря, прохаживай к нему;дом
езжай до ближнего домика, обследуй его;домик
рассмотри лежащего человека, который располагается правее бугра, располагающийся за лампой, удались к нему;лежащий человек
найди ограждение справа от тебя, рассматривай его;ограждение
разыщи близлежащее срубленное дерево и обходи его;срубленное дерево
начинай ползти к наблюдаемому останцу, повернись до него;останец
соверши поворот до леса, который неподалеку от расщелины, которая располагается левее упавшего дерева и объезжай его;лес
исследуй барьер сзади, опереди его;барьер
начинай обозревать дубраву, подвергни анализу её;дубрава
заворчивай к ограждению справа от себя, мчись до него;ограждение
обследуй разлом, соверши поворот до него;разлом
обставь канаву, обследуй её;канава
исследуй близлежащий останец и повернись до него;останец
найди горку за собой и обходи её;горка
соверши поворот к фонарю, что спереди от избы, которая располагается слева от ограждения, исследуй его;фонарь
осмотри ту лесополосу, вылети к ней;лесополоса
оставь позади ольху, что располагается за человеком, располагающегося позади постройки, несись до неё;ольха
попробуй двигать до близкого авто, соверши поворот до него;авто
оставь позади ближайший разлом и исследуй его;разлом
оставь позади в это место, к разрыву и обозревай его;разрыв
соверши поворот к этому свалившемуся человеку, объезжай его;свалившийся человек
левее ребёнка находится сосна, которую приказывается опережать, сделай поворот до неё;сосна
попробуй идти до недалёкого оврага и обследуй его;овраг
рассматривай рытвину, иди до неё;рытвина
начни уноситься к особняку, находящемуся рядом с лампой, находящейся справа от пьяного человека и рассмотри его;особняк
поворачивай к лежащему человеку за тобой, исследуй его;лежащий человек
оставь позади ближнюю трещину, подвергни анализу её;трещина
спереди от булыжника чаща, которую нужно подвергнуть анализу, шлёпай к ней;чаща
попробуй отбегать в этом направлении, до валуна и сделай поворот к нему;валун
рассмотри сосну, что располагается левее возвышенности, что располагается рядом с лежащим человеком, заворчивай до неё;сосна
анализируй валун, что располагается около рощи, которая находится справа от ямы и поднимайся до него;валун
перед тачкой находится лежащий человек, до которого просят поворачивать и исследуй его;лежащий человек
перед возвышенностью располагается свет, который приказывается исследовать, проходи к нему;свет
попробуй поворачивать в том направлении, до пьяного человека, опереди его;пьяный человек
начинай подходить до столба, опережай его;столб
начинай исследовать булыжник и рассматривай его;булыжник
перед разрывом располагается возвышенность, которую требуется исследовать и давай к ней;возвышенность
обходи товарища, который спереди от спиленного дерева, которое располагается позади машины, разглядывай его;товарищ
пытайся заворчивать к барьеру, объезжай его;барьер
попробуй анализировать возвышенность, выбирайся до неё;возвышенность
обскакивай куда смотрю, к берёзе, анализируй её;береза
отыщи поваленное дерево и направляйся к нему;поваленное дерево
пытайся рассматривать тот холмик, подвергни анализу его;холмик
около постройки находится дубрава, которую необходимо анализировать и заворчивай к ней;дубрава
обходи валун, который около ограждения, находящееся правее рытвины и подвергни анализу его;валун
слева от леса располагается впадина, к которой просят проходить, повернись к ней;впадина
мчись к пьяному человеку, располагающемуся правее рытвины, располагающейся перед разрывом и обставь его;пьяный человек
попробуй анализировать упавшее дерево впереди себя и объезжай его;упавшее дерево
соверши поворот к разрыву сзади от леса, который располагается рядом с останцем, рассмотри его;разрыв
отыщи даму, обскочи её;дама
обнаружь близкую рощу и оставь позади её;роща
начни исследовать пьяного человека перед тобой, сделай поворот к нему;пьяный человек
начинай рассматривать данного ребёнка и заворчивай до него;ребёнок
начинай вкатываться до горки справа от тачки, располагающейся правее дамы, разглядывай её;горка
отыщи ближнее поваленное дерево, подвергни анализу его;поваленное дерево
сделай поворот к загородке за тобой, выметайся до неё;загородка
соверши поворот до горы, что перед упавшим человеком, что перед упавшим деревом, опереди её;гора
начни опережать свалившегося человека правее тебя, хлюпай к нему;свалившийся человек
оставь позади свет левее и поддай до него;свет
обставь ребёнка правее и обследуй его;ребёнок
соверши поворот в этом направлении, к свету, обставь его;свет
разыщи лес за тобой и осматривай его;лес
заворчивай сюда, к пьяному человеку и ступай к нему;пьяный человек
обставь ту машину, соверши поворот к ней;машина
начинай анализировать женщину правее тебя, шлёпай к ней;женщина
повернись до леса впереди себя и наступай до него;лес
обставь авто, что располагается слева от свалившегося человека, что находится перед валуном, анализируй его;авто
подвергни анализу ребёнка, что располагается левее расщелины, находящуюся левее останца и сделай поворот к нему;ребёнок
разглядывай камушек справа и анализируй его;камушек
тронься до чащи, рассматривай её;чаща
правее автомобиля располагается барьер, который требуется оставить позади и повернись до него;барьер
влачись к валуну и осматривай его;валун
повернись до булыги спереди себя и проезжай к ней;булыга
начни передвигаться к данному разлому и подвергни анализу его;разлом
обнаружь недалёкую пропасть и заворчивай до неё;пропасть
сделай поворот до сваленного дерева, что располагается слева от машины, находящейся справа от оврага и осматривай его;сваленное дерево
пытайся спускаться в ту сторону, к разлому, рассмотри его;разлом
обходи горку, которая находится слева от тачки справа от препятствия, обозревай её;горка
начни исследовать дуб левее тебя, обскочи его;дуб
осматривай столб, находящийся сзади от автомобиля, что находится слева от пропасти, заворчивай до него;столб
начни обследовать ближнюю лампу и опереди её;лампа
оставь позади близлежащий останец, разглядывай его;останец
начинай разглядывать эту кучу и сделай поворот до неё;куча
заворчивай к ближнему мужчине и рассмотри его;мужчина
попробуй обозревать останец, что располагается правее товарища, который справа от лесополосы, сделай поворот к нему;останец
пытайся исследовать ближний фонарь и перемещайся к нему;фонарь
опереди туда, до ребёнка и убегай к нему;ребёнок
осмотри туда, к дереву и поворачивай к нему;дерево
рассмотри булыгу, располагающуюся слева от останца, находящийся неподалеку от канавы, подвергни анализу её;булыга
сделай поворот до останца, располагающегося спереди от возвышенности, что располагается сзади от срубленного дерева, обскочи его;останец
пытайся обскакивать машину, разглядывай её;машина
пытайся разглядывать близлежащий барьер, иди до него;барьер
подвергни анализу лесополосу и рассматривай её;лесополоса
справа от валуна преграда, которую нужно разглядывать, обследуй её;преграда
опереди сваленное дерево и исследуй его;сваленное дерево
перед дамой находится горка, которую просят обскочить, повернись до неё;горка
дефилируй к ольхе за тобой, осматривай её;ольха
спереди от останца находится пьяный человек, до которого умоляют сделать поворот, объезжай его;пьяный человек
зайди к автомобилю, который располагается перед лесополосой, что рядом с канавой, подвергни анализу его;автомобиль
обставь близлежащую лесополосу, рассмотри её;лесополоса
опереди недалекий булыжник, обследуй его;булыжник
спереди от барьера столб, к которому приказывают заворчивать и обходи его;столб
подвергни анализу коттедж перед тобой, сделай поворот к нему;коттедж
сделай поворот до леса перед тобой, пустись к нему;лес
заворчивай к яме и сходи к ней;яма
начни исследовать ограждение, которое находится перед машиной, которая находится слева от дуба, поворачивай до него;ограждение
спереди от разрыва располагается препятствие, до которого нужно топать, анализируй его;препятствие
обозревай булыгу, которая перед валуном, который располагается перед домиком и двигайся до неё;булыга
найди гору левее домика, который справа от рытвины, анализируй её;гора
найди яму, исследуй её;яма
пытайся осматривать камушек левее себя, обследуй его;камушек
разыщи недалёкую булыгу и разглядывай её;булыга
найди рощу и отходи до неё;роща
заворчивай к пригорку слева от тебя и обходи его;пригорок
обнаружь ближнюю ольху, сделай поворот до неё;ольха
справа от впадины находится разлом, к которому приказывается сделать поворот, рассмотри его;разлом
пытайся обскакивать ближнего ребёнка, повернись до него;ребёнок
пытайся опережать загородку перед тобой, осмотри её;загородка
пытайся лететь до дамы, обследуй её;дама
углубись к свету правее себя и объезжай его;свет
пытайся становиться к ближайшему упавшему дереву, соверши поворот к нему;упавшее дерево
попробуй обскакивать ближайший разрыв и поезжай к нему;разрыв
неподалеку от сваленного дерева домик, который необходимо осматривать и опережай его;домик
подвергни анализу сломанное дерево и рассмотри его;сломанное дерево
левее возвышенности располагается лес, до которого приказывают повернуться и обскакивай его;лес
обскочи камень за упавшим человеком, который левее кучи, рассмотри его;камень
справа от машины находится рытвина, которую необходимо исследовать и обозревай её;рытвина
разглядывай ближнюю лесополосу, обследуй её;лесополоса
начинай обозревать чащу, что располагается за человеком, что находится левее камня, исследуй её;чаща
пытайся объезжать эту лампу и рассматривай её;лампа
рядом с лежащим человеком машина, которую просят анализировать, разглядывай её;машина
позади горы находится канава, которую умоляют исследовать, заворчивай к ней;канава
опереди светильник левее тебя, поворачивай до него;светильник
рядом с сосной находится булыга, которую приказывают обскакивать и сделай поворот до неё;булыга
анализируй лампу и рассмотри её;лампа
разыщи дерево и сделай поворот до него;дерево
трюшчи до лесополосы, сделай поворот к ней;лесополоса
отыщи лесополосу сзади и обскочи её;лесополоса
за булыгой находится роща, которую просят рассматривать и поторопись до неё;роща
разыщи барьер сзади тебя, подвергни анализу его;барьер
анализируй женщину слева от себя и трусь к ней;женщина
перебрасывайся до наблюдаемого дерева и рассматривай его;дерево
опереди постройку, что слева от расщелины, что находится слева от поваленного дерева и рассмотри её;постройка
разыщи мужчину спереди тебя, углубись до него;мужчина
перед ямой расщелина, к которой умоляют поворачивать, подвергни анализу её;расщелина
повернись до трещины за собой и обставь её;трещина
осматривай валун и объезжай его;валун
разыщи близлежащего ребёнка и заворчивай до него;ребёнок
рассматривай этого человека и продвигайся до него;человек
повернись к пропасти и исследуй её;пропасть
рядом с лесом располагается ограждение, которое требуется оставить позади, повернись к нему;ограждение
