in;out
повернись к ограждению справа и стягивайся до него;Местоимение: него. Объект: ограждения
попробуй заворчивать к камушку, что слева от чащи, оставь позади его;Местоимение: его. Объект: камушек
найди дом, дуй к нему;Местоимение: нему. Объект: дому
опереди машину и разглядывай её;Местоимение: её. Объект: машину
начинай заворчивать до этой впадины и анализируй её;Местоимение: её. Объект: впадину
попробуй рассматривать недалёкую булыгу, соверши поворот к ней;Местоимение: ней. Объект: булыге
повернись до тачки, что слева от сваленного дерева, шествуй к ней;Местоимение: ней. Объект: тачке
обставь ближнего человека и переступай до него;Местоимение: него. Объект: человека
сделай поворот до горки за тобой и рассматривай её;Местоимение: её. Объект: горку
пытайся рассматривать дом, который спереди от упавшего человека, что находится спереди от разлома, заворчивай к нему;Местоимение: нему. Объект: дому
осмотри свет, что располагается перед избой, которая находится справа от провала, денься до него;Местоимение: него. Объект: света
разыщи пропасть, что располагается неподалеку от дамы, делай маневр до неё;Местоимение: неё. Объект: пропасти
обоснуйся туда, до разлома, рассмотри его;Местоимение: его. Объект: разлом
соверши поворот к зданию, исследуй его;Местоимение: его. Объект: здание
объезжай ольху, переступай до неё;Местоимение: неё. Объект: ольхи
обнаружь ребёнка, осматривай его;Местоимение: его. Объект: ребёнка
разыщи мужчину, исследуй его;Местоимение: его. Объект: мужчину
начинай осматривать булыжник правее, дуй до него;Местоимение: него. Объект: булыжника
осматривай железного коня, располагающегося левее разрыва и обскочи его;Местоимение: его. Объект: железного коня
подвергни анализу рытвину, пробеги до неё;Местоимение: неё. Объект: рытвины
начинай поворачивать в эту сторону, к дереву, исследуй его;Местоимение: его. Объект: дерево
пытайся маршировать к камню и опереди его;Местоимение: его. Объект: камень
пытайся заворчивать к данному ребёнку, обследуй его;Местоимение: его. Объект: ребёнка
начинай исследовать останец, что справа от впадины и обходи его;Местоимение: его. Объект: останец
оставь позади сваленное дерево, прогуляйся к нему;Местоимение: нему. Объект: сваленному дереву
пытайся обследовать барьер и опереди его;Местоимение: его. Объект: барьер
соверши поворот в это место, к строению и обскочи его;Местоимение: его. Объект: строение
пытайся объезжать разрыв за тобой и обследуй его;Местоимение: его. Объект: разрыв
езжай до преграды спереди, подвергни анализу её;Местоимение: её. Объект: преграду
разыщи недалёкую возвышенность, отбеги до неё;Местоимение: неё. Объект: возвышенности
начинай объезжать разлом, что находится слева от сломанного дерева и исследуй его;Местоимение: его. Объект: разлом
опереди упавшего человека, что располагается за дамой и исследуй его;Местоимение: его. Объект: упавшего человека
сделай поворот до наблюдаемого ограждения, осматривай его;Местоимение: его. Объект: ограждение
попробуй поворачивать до близлежащего препятствия, осмотри его;Местоимение: его. Объект: препятствие
обставь в это место, к останцу, исследуй его;Местоимение: его. Объект: останец
анализируй ближний лес и опережай его;Местоимение: его. Объект: лес
начни семенить до ближайшего человека и объезжай его;Местоимение: его. Объект: человека
собирайся до света и поворачивай к нему;Местоимение: нему. Объект: свету
попробуй обследовать светильник за преградой, броди к нему;Местоимение: нему. Объект: светильнику
припусти к останцу, что рядом с холмиком, который располагается правее впадины, обскакивай его;Местоимение: его. Объект: останец
танцуй до недалёкого коттеджа, исследуй его;Местоимение: его. Объект: коттедж
попробуй исследовать ближнюю пропасть, оставь позади её;Местоимение: её. Объект: пропасть
осмотри берёзу, которая располагается сзади от лежащего человека и исследуй её;Местоимение: её. Объект: берёзу
отыщи холмик, что находится позади автомобиля и сделай поворот до него;Местоимение: него. Объект: холмика
сделай поворот до рощи и хромай к ней;Местоимение: ней. Объект: роще
рассматривай останец слева от тебя и поворачивай к нему;Местоимение: нему. Объект: останцу
двигайся до канавы, которая позади спиленного дерева, которое находится позади расщелины и опережай её;Местоимение: её. Объект: канаву
рассматривай в ту сторону, к машине и опереди её;Местоимение: её. Объект: машину
маршируй туда, до провала, повернись до него;Местоимение: него. Объект: провала
отыщи женщину, которая спереди от провала, подвергни анализу её;Местоимение: её. Объект: женщину
зайди к фонарю за женщиной, которая находится правее сломанного дерева, осмотри его;Местоимение: его. Объект: фонарь
начинай обследовать останец, что правее сваленного дерева и рассматривай его;Местоимение: его. Объект: останец
обставь наблюдаемый столб и поворачивай до него;Местоимение: него. Объект: столба
поддай до поваленного дерева перед тобой и поворачивай к нему;Местоимение: нему. Объект: поваленному дереву
осматривай разлом, который располагается перед упавшим человеком и обставь его;Местоимение: его. Объект: разлом
начни анализировать лежащего человека и делай маневр до него;Местоимение: него. Объект: лежащего человека
сделай поворот к ближнему фонарю, подходи к нему;Местоимение: нему. Объект: фонарю
разыщи автомобиль, что находится правее лежащего человека, что левее впадины, соверши поворот к нему;Местоимение: нему. Объект: автомобилю
начни грести к ограждению, что располагается слева от останца, что находится спереди от дуба и опереди его;Местоимение: его. Объект: ограждение
рассматривай мужчину, обскочи его;Местоимение: его. Объект: мужчину
соверши поворот туда, к канаве, обставь её;Местоимение: её. Объект: канаву
найди булыжник, что располагается позади авто, обскакивай его;Местоимение: его. Объект: булыжник
соверши поворот к постройке впереди себя и обскакивай её;Местоимение: её. Объект: постройку
обскочи ближайший останец и поворачивай до него;Местоимение: него. Объект: останца
разглядывай камушек, который находится перед впадиной, обскакивай его;Местоимение: его. Объект: камушек
рассматривай упавшее дерево, что около провала, располагающийся слева от препятствия, сделай поворот до него;Местоимение: него. Объект: упавшего дерева
попробуй анализировать валун, который находится спереди от столба, что правее преграды и собирайся к нему;Местоимение: нему. Объект: валуну
обставь расщелину, углубись до неё;Местоимение: неё. Объект: расщелины
соверши поворот к сосне и убеги к ней;Местоимение: ней. Объект: сосне
исследуй светильник, который слева от упавшего человека, обозревай его;Местоимение: его. Объект: светильник
повернись до наблюдаемого разлома, разглядывай его;Местоимение: его. Объект: разлом
выбрасывайся к сломанному дереву слева от тебя и осматривай его;Местоимение: его. Объект: сломанное дерево
подвергни анализу рытвину, что находится справа от человека, соверши поворот к ней;Местоимение: ней. Объект: рытвине
прохаживай в этом направлении, к останцу, осмотри его;Местоимение: его. Объект: останец
отыщи лесополосу и исследуй её;Местоимение: её. Объект: лесополосу
разглядывай провал справа от пьяного человека, который располагается неподалеку от валуна, опережай его;Местоимение: его. Объект: провал
опереди чащу правее и сдай к ней;Местоимение: ней. Объект: чаще
рассматривай холм сзади, тащись к нему;Местоимение: нему. Объект: холму
соверши поворот к пропасти, анализируй её;Местоимение: её. Объект: пропасть
осмотри близкое ограждение и топай к нему;Местоимение: нему. Объект: ограждению
попробуй идти до рощи, что перед валуном, который располагается рядом с ограждением, обследуй её;Местоимение: её. Объект: рощу
повернись до близкой канавы, анализируй её;Местоимение: её. Объект: канаву
попробуй поворачивать к даме, находящейся за загородкой, находящейся слева от рощи и обследуй её;Местоимение: её. Объект: даму
вкатывайся к останцу правее, разглядывай его;Местоимение: его. Объект: останец
разыщи камень сзади тебя и осматривай его;Местоимение: его. Объект: камень
соверши поворот туда, до домика и рассматривай его;Местоимение: его. Объект: домик
обследуй пригорок позади себя, ползи до него;Местоимение: него. Объект: пригорка
денься к расщелине, которая находится позади останца, который находится позади канавы и исследуй её;Местоимение: её. Объект: расщелину
найди недалекий барьер и обставь его;Местоимение: его. Объект: барьер
объезжай ближайший автомобиль, обозревай его;Местоимение: его. Объект: автомобиль
обскакивай близлежащий барьер, сделай поворот до него;Местоимение: него. Объект: барьера
пытайся обследовать рощу и поворачивай до неё;Местоимение: неё. Объект: рощи
толкайся к поваленному дереву, которое располагается справа от дерева и осматривай его;Местоимение: его. Объект: поваленное дерево
разыщи авто, рассмотри его;Местоимение: его. Объект: авто
оставь позади поваленное дерево, что располагается справа от свалившегося человека, исследуй его;Местоимение: его. Объект: поваленное дерево
обнаружь лес справа от тебя и анализируй его;Местоимение: его. Объект: лес
начни объезжать сюда, до дуба, рассмотри его;Местоимение: его. Объект: дуб
обскочи ограждение, которое находится неподалеку от останца, что располагается спереди от светильника, разглядывай его;Местоимение: его. Объект: ограждение
пытайся опережать препятствие спереди, обозревай его;Местоимение: его. Объект: препятствие
приедь к булыжнику и сделай поворот к нему;Местоимение: нему. Объект: булыжнику
делай маневр к роще справа, исследуй её;Местоимение: её. Объект: рощу
обскочи человека, поворачивай к нему;Местоимение: нему. Объект: человеку
попробуй шлёпать до ближайшего валуна и исследуй его;Местоимение: его. Объект: валун
обставь упавшее дерево, находящееся справа от дуба, гуляй до него;Местоимение: него. Объект: упавшего дерева
подвергни анализу дом справа и опережай его;Местоимение: его. Объект: дом
осматривай разлом спереди, устройся до него;Местоимение: него. Объект: разлома
